Node                                   Voltage
----                                   -------
xand0.6                             0.00186805
node1                                        1
xand0.7                              0.0029986
z0                                    0.998938                     ///Z0
xand1.6                              0.0018647
xand1.7                              0.0029919
z1                                    0.990214
xand2.6                              0.0018647
xand2.7                              0.0029919
z2                                    0.990214
xand3.6                            0.000381869
xand3.7                               0.997676
z3                                  0.00902436
xand4.6                            0.000381869
xand4.7                               0.997676
z4                                  0.00902439
xand5.6                            0.000381869
xand5.7                               0.997681
z5                                   0.0132604
xfa0.nodecon                          0.989204
xfa0.node4                            0.829333
xfa0.1                                0.992711
xfa0.5                             0.000368189
xfa0.4                                0.991778
xfa0.2                                0.998884
xfa0.3                              0.00274141
xfa0.nodeson                        0.00477605
xfa0.9                                 0.15296
xfa0.7                              0.00036518
xfa0.8                                0.124468
xfa0.6                              0.00233337
nodeco0                             0.00316233
nodez0                                0.998934                        ///Z1
xfa1.nodecon                          0.989208
xfa1.node4                            0.829333
xfa1.1                                0.992713
xfa1.5                             0.000368189
xfa1.4                                0.991781
xfa1.2                                0.998884
xfa1.3                              0.00273833
xfa1.nodeson                        0.00476987
xfa1.9                                 0.15296
xfa1.7                              0.00036518
xfa1.8                                0.124468
xfa1.6                              0.00233104
nodeco1                             0.00516068
nodes0                                0.994834
xand6.6                            0.000381869
xand6.7                               0.997676
z6                                   0.0090254
xand7.6                            0.000381869
xand7.7                               0.997666
z7                                 0.000496506
xand8.6                            0.000381869
xand8.7                               0.997697
z8                                   0.0250145
xfa2.nodecon                          0.989233
xfa2.node4                            0.832996
xfa2.1                                 0.99273
xfa2.5                             0.000375691
xfa2.4                                0.991798
xfa2.2                                0.998899
xfa2.3                              0.00273493
xfa2.nodeson                        0.00475789
xfa2.9                                0.151902
xfa2.7                             0.000371682
xfa2.8                                0.125035
xfa2.6                              0.00250507
nodeco2                             0.00466401
xfa3.nodecon                          0.992847
xfa3.node4                           0.0421906
xfa3.1                                0.995623
xfa3.5                               0.0274782
xfa3.4                                 0.99333
xfa3.2                                0.995784
xfa3.3                                0.799828
xfa3.nodeson                          0.984764
xfa3.9                                0.990307
xfa3.7                                0.020348
xfa3.8                                0.986636
xfa3.6                               0.0544163
nodeco3                             0.00633266
nodes2                             0.000531759
xfa4.nodecon                          0.993311
nodes1                                0.575695
xfa4.node4                             0.50332
xfa4.1                                0.995789
xfa4.5                             7.74252e-05
xfa4.4                                0.994186
xfa4.2                                  0.9548
xfa4.3                                0.118447
xfa4.nodeson                          0.202554
xfa4.9                                0.559109
xfa4.7                             6.53034e-05
xfa4.8                                0.442525
xfa4.6                               0.0198203
nodeco4                             0.00515348
nodez1                                0.995095                         ///Z2
xfa5.nodecon                          0.992828
xfa5.node4                           0.0620324
xfa5.1                                0.995588
xfa5.5                               0.0287092
xfa5.4                                0.993291
xfa5.2                                0.995756
xfa5.3                                0.800262
xfa5.nodeson                          0.984611
xfa5.9                                0.990208
xfa5.7                               0.0116254
xfa5.8                                 0.98648
xfa5.6                               0.0567257
nodez3                             0.000522414
nodez2                              0.00053199
nodecin0                                     0
vnodecin0#branch                             0
vdd#branch                        -5.30152e-05

 Reference value :  8.16928e-10
No. of Data Rows : 8208
