Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
xand0.6                               0.588375
xand0.7                               0.699307
node1                                      0.7
z0                                 0.000179576                         ///Z0
xand1.6                            0.000611503
xand1.7                             0.00100599
z1                                    0.697171
xand2.6                               0.588375
xand2.7                               0.699309
z2                                  0.00475491
xand3.6                               0.588375
xand3.7                               0.699309
z3                                  0.00475491
xand4.6                              0.0366339
xand4.7                               0.699484
z4                                    0.003219
xand5.6                            0.000116566
xand5.7                                0.69928
z5                                   0.0047142
xand6.6                              0.0366339
xand6.7                               0.699484
z6                                  0.00471331
xand7.6                              0.0366339
xand7.7                               0.699484
z7                                  0.00475418
xfa0.nodecon                          0.696566
xfa0.node4                            0.585152
xfa0.1                                0.697636
xfa0.5                             0.000115211
xfa0.4                                0.697314
xfa0.2                                0.699589
xfa0.3                              0.00095292
xfa0.nodeson                        0.00169281
xfa0.9                                0.108752
xfa0.7                             0.000109816
xfa0.8                               0.0851774
xfa0.6                             0.000898333
nodeco0                              0.0018255
nodez0                                 0.69964                   ///Z1
xfa1.nodecon                          0.697597
xfa1.node4                           0.0371899
xfa1.1                                0.698509
xfa1.5                               0.0230342
xfa1.4                                0.697733
xfa1.2                                0.698546
xfa1.3                                0.556525
xfa1.nodeson                          0.694805
xfa1.9                                0.696659
xfa1.7                               0.0143371
xfa1.8                                 0.69541
xfa1.6                               0.0457827
nodeco1                             0.00111317
nodes0                              0.00226631
xfa2.nodecon                          0.697597
xfa2.node4                           0.0371904
xfa2.1                                0.698509
xfa2.5                               0.0230343
xfa2.4                                0.697733
xfa2.2                                0.698546
xfa2.3                                0.556525
xfa2.nodeson                          0.694805
xfa2.9                                0.696659
xfa2.7                               0.0143368
xfa2.8                                 0.69541
xfa2.6                               0.0457829
nodeco2                             0.00182327
nodes1                              0.00226082
xand8.6                               0.588375
xand8.7                               0.699309
z8                                  0.00471412
xand9.6                            0.000611555
xand9.7                             0.00100609
z9                                    0.697485
xand10.6                              0.588375
xand10.7                              0.699309
z10                                 0.00471415
xand11.6                              0.588375
xand11.7                              0.699309
z11                                 0.00475495
xfa3.nodecon                          0.697593
xfa3.node4                           0.0356505
xfa3.1                                0.698507
xfa3.5                               0.0243766
xfa3.4                                0.697728
xfa3.2                                0.698545
xfa3.3                                0.556612
xfa3.nodeson                          0.694814
xfa3.9                                0.696661
xfa3.7                               0.0151651
xfa3.8                                0.695417
xfa3.6                               0.0475138
nodeco3                             0.00111024
nodez1                             0.000189038                        ///Z2
xfa4.nodecon                           0.69591
xfa4.node4                         0.000115903
xfa4.1                                0.697631
xfa4.5                             0.000115614
xfa4.4                                0.695591
xfa4.2                                0.699091
xfa4.3                             0.000966308
xfa4.nodeson                        0.00172038
xfa4.9                                0.698705
xfa4.7                                0.394529
xfa4.8                               0.0885082
xfa4.6                                0.394531
nodeco4                             0.00182696
nodes2                                 0.69849
xfa5.nodecon                          0.697601
xfa5.node4                           0.0371896
xfa5.1                                0.698512
xfa5.5                               0.0238943
xfa5.4                                0.697736
xfa5.2                                0.698549
xfa5.3                                0.556354
xfa5.nodeson                           0.69482
xfa5.9                                0.696667
xfa5.7                               0.0145405
xfa5.8                                0.695424
xfa5.6                               0.0470321
nodeco5                             0.00182326
nodes3                              0.00226626
xand12.6                             0.0366339
xand12.7                              0.699484
z12                                  0.0032191
xand13.6                           0.000116566
xand13.7                               0.69928
z13                                 0.00471425
xand14.6                             0.0366339
xand14.7                              0.699484
z14                                 0.00471339
xand15.6                             0.0366339
xand15.7                              0.699484
z15                                 0.00475414
xfa6.nodecon                           0.69657
xfa6.node4                            0.586174
xfa6.1                                0.697639
xfa6.5                             0.000116097
xfa6.4                                0.697317
xfa6.2                                0.699591
xfa6.3                             0.000950498
xfa6.nodeson                        0.00168812
xfa6.9                                0.108409
xfa6.7                             0.000110458
xfa6.8                               0.0853446
xfa6.6                             0.000940552
nodeco6                             0.00224306
nodez2                                 0.69964                   ///Z3
xfa7.nodecon                          0.697593
xfa7.node4                           0.0356505
xfa7.1                                0.698507
xfa7.5                               0.0243773
xfa7.4                                0.697728
xfa7.2                                0.698545
xfa7.3                                0.556612
xfa7.nodeson                          0.694816
xfa7.9                                0.696662
xfa7.7                               0.0151653
xfa7.8                                0.695419
xfa7.6                               0.0475148
nodeco7                             0.00224056
xfa8.nodecon                          0.697601
xfa8.node4                           0.0371905
xfa8.1                                0.698512
xfa8.5                               0.0238943
xfa8.4                                0.697736
xfa8.2                                0.698549
xfa8.3                                0.556354
xfa8.nodeson                           0.69482
xfa8.9                                0.696667
xfa8.7                               0.0145401
xfa8.8                                0.695424
xfa8.6                               0.0470321
nodeco8                             0.00224056
nodes4                              0.00226625
xfa9.nodecon                          0.697584
xfa9.node4                           0.0368754
xfa9.1                                  0.6985
xfa9.5                               0.0239899
xfa9.4                                0.697719
xfa9.2                                0.698538
xfa9.3                                0.557047
xfa9.nodeson                          0.694787
xfa9.9                                0.696643
xfa9.7                               0.0142727
xfa9.8                                0.695392
xfa9.6                               0.0467571
nodeco9                             0.00182325
nodez3                             0.000189068                       ///Z4
xfa10.nodecon                         0.697588
xfa10.node4                          0.0368768
xfa10.1                               0.698503
xfa10.5                               0.024877
xfa10.4                               0.697722
xfa10.2                               0.698541
xfa10.3                               0.556873
xfa10.nodeson                         0.694802
xfa10.9                               0.696651
xfa10.7                                0.01447
xfa10.8                               0.695405
xfa10.6                              0.0480237
nodeco10                            0.00182325
nodez4                             0.000189051                      ///Z5
xfa11.nodecon                         0.697595
xfa11.node4                          0.0384463
xfa11.1                               0.698507
xfa11.5                              0.0243722
xfa11.4                                0.69773
xfa11.2                               0.698545
xfa11.3                               0.556612
xfa11.nodeson                         0.694806
xfa11.9                               0.696656
xfa11.7                              0.0138718
xfa11.8                                0.69541
xfa11.6                              0.0475694
nodez6                             0.000186061
nodez5                             0.000189046                       ///Z6
vdd#branch                        -2.14367e-05

 Reference value :  8.15728e-10
No. of Data Rows : 8208
